CÓDIGO,DESCRIÇÃO DE SERVIÇO,UNIDADE,CUSTO UNITÁRIO,REGIÃO,ANO
RO-43333,"Desmatamento, destocamento e limpeza de árvores, arbustos e vegetação rasteira. (execução na espessura de até 30cm, incluindo remanejamento para fora da linha de offsets e acerto do material)",m2,0.49,Região Norte,Planilha
RO-40229,Enrocamento de pedra de mão jogada (Execução incluindo o fornecimento de todos os materiais),m3,113.95,Região Norte,Planilha
RO-40242,Escalonamento de taludes de aterro,m3,6.86,Região Norte,Planilha
RO-40137,"Escavação, carga, descarga, espalhamento e transporte de material de  2ª categoria com motoscraper. Distância média de transporte  de 0 a 200 m",m3,10.26,Região Norte,Planilha
RO-40138,"Escavação, carga, descarga, espalhamento e transporte de material de  2ª categoria com motoscraper. Distância média de transporte  de 201 a 400 m",m3,11.58,Região Norte,Planilha
RO-40140,"Escavação, carga, descarga, espalhamento e transporte de material de  2ª categoria com motoscraper. Distância média de transporte  de 401 a 600 m",m3,12.46,Região Norte,Planilha
RO-40143,"Escavação, carga, descarga, espalhamento e transporte de material de  2ª categoria com motoscraper. Distância média de transporte  de 601 a 800 m",m3,13.71,Região Norte,Planilha
RO-40144,"Escavação, carga, descarga, espalhamento e transporte de material de  2ª categoria com motoscraper. Distância média de transporte  de 801 a 1.000 m",m3,14.39,Região Norte,Planilha
RO-40148,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  <= 200 m",m3,5.56,Região Norte,Planilha
RO-40153,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 1.001 a 1.200 m",m3,8.43,Região Norte,Planilha
RO-40154,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 1.201 a 1.400 m",m3,8.76,Região Norte,Planilha
RO-40155,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 1.401 a 1.600 m",m3,9.41,Região Norte,Planilha
RO-40156,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 1.601 a 1.800 m",m3,9.69,Região Norte,Planilha
RO-40157,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 1.801 a 2.000 m",m3,9.94,Região Norte,Planilha
RO-40158,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 2.001 a 2.500 m",m3,10.46,Região Norte,Planilha
RO-40149,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 201 a 400 m",m3,6.42,Região Norte,Planilha
RO-40159,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 2.501 a 3.000 m",m3,11.24,Região Norte,Planilha
RO-40160,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 3.001 a 4.000 m",m3,12.48,Região Norte,Planilha
RO-40150,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 401 a 600 m",m3,6.9,Região Norte,Planilha
RO-40151,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 601 a 800 m",m3,7.77,Região Norte,Planilha
RO-40152,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com caminhão. Distância média de transporte  de 801 a 1.000 m",m3,8.07,Região Norte,Planilha
RO-40129,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com motoscraper. Distância média de transporte  <= 200 m",m3,7.42,Região Norte,Planilha
RO-40130,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com motoscraper. Distância média de transporte  de 201 a 400 m",m3,8.22,Região Norte,Planilha
RO-40131,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com motoscraper. Distância média de transporte  de 401 a 600 m",m3,9.67,Região Norte,Planilha
RO-40134,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com motoscraper. Distância média de transporte  de 601 a 800 m",m3,10.23,Região Norte,Planilha
RO-40135,"Escavação, carga, descarga, espalhamento e transporte de material de 1ª categoria, com motoscraper. Distância média de transporte  de 801 a 1.000 m",m3,11.35,Região Norte,Planilha
RO-40162,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  <= 200 m",m3,7.02,Região Norte,Planilha
RO-40167,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 1.001 a 1.200 m",m3,9.82,Região Norte,Planilha
RO-40168,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 1.201 a 1.400 m",m3,10.64,Região Norte,Planilha
RO-40169,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 1.401 a 1.600 m",m3,10.96,Região Norte,Planilha
RO-40170,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 1.601 a 1.800 m",m3,11.25,Região Norte,Planilha
RO-40171,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 1.801 a 2.000 m",m3,11.53,Região Norte,Planilha
RO-40172,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 2.001 a 2.500 m",m3,12.55,Região Norte,Planilha
RO-40163,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 201 a 400 m",m3,7.57,Região Norte,Planilha
RO-40173,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 2.501 a 3.000 m",m3,13.01,Região Norte,Planilha
RO-40174,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 3.001 a 4.000 m",m3,13.96,Região Norte,Planilha
RO-40164,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 401 a 600 m",m3,8.55,Região Norte,Planilha
RO-40165,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 601 a 800 m",m3,9.11,Região Norte,Planilha
RO-40166,"Escavação, carga, descarga, espalhamento e transporte de material de 2ª. categoria com caminhão. Distância média de transporte  de 801 a 1.000 m",m3,9.43,Região Norte,Planilha
RO-42329,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª. categoria . Distância média de transporte  de 2.501 a 3.000 m",m3,41.99,Região Norte,Planilha
RO-40182,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte  <= 200 m",m3,36.03,Região Norte,Planilha
RO-41777,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte  de 1.001 a 1.200 m",m3,38.62,Região Norte,Planilha
RO-40183,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte  de 201 a 400 m",m3,36.64,Região Norte,Planilha
RO-42330,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª. categoria. Distância média de transporte  de 3.001 a 4.000 m",m3,43.91,Região Norte,Planilha
RO-40184,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte  de 401 a 600 m",m3,37.21,Região Norte,Planilha
RO-40185,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte  de 601 a 800 m",m3,37.83,Região Norte,Planilha
RO-41778,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 1.201 a 1.400 m",m3,39.86,Região Norte,Planilha
RO-41834,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 1.401 a 1.600 m",m3,40.22,Região Norte,Planilha
RO-41835,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 1.601 a 1.800 m",m3,40.55,Região Norte,Planilha
RO-41836,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 1.801 a 2.000 m",m3,40.86,Região Norte,Planilha
RO-40186,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 2.001 a 2.500 m",m3,41.48,Região Norte,Planilha
RO-41776,"Escavação, carga, descarga, espalhamento e transporte de material de 3ª categoria. Distância média de transporte de 801 a 1.000 m",m3,38.2,Região Norte,Planilha
RO-40192,Escavação e carga com trator e carregadeira (material de 1ª categoria),m3,4.58,Região Norte,Planilha
RO-40193,Escavação e transporte com trator  de material de 2ª categoria.Distância média de transporte <=50 m,m3,6.58,Região Norte,Planilha
RO-40194,Escavação e transporte com trator de material de 1ª categoria.Distância média de transporte <= 50 m,m3,3.21,Região Norte,Planilha
RO-40217,Escavação em material de 3ª categoria com esgotamento de àgua,m3,120.43,Região Norte,Planilha
RO-40211,"Escavação manual de valas em solo, com altura de 0 a 1,50 m",m3,63.55,Região Norte,Planilha
RO-40213,"Escavação manual de valas em solo, com altura de 1,50 m a 3,00 m",m3,80.26,Região Norte,Planilha
RO-40216,Escavação manual em material de 1ª categoria com esgotamento de àgua,m3,80.33,Região Norte,Planilha
RO-40218,"Escavação mecânica de valas em material de 1ª categoria (Execução, incluindo remoção para fora do leito estradal)",m3,9.81,Região Norte,Planilha
RO-40215,"Escavação mecânica de valas em material de 1ª e 2ª categoria (Execução, incluindo remoção para fora do leito estradal)",m3,11.29,Região Norte,Planilha
RO-40219,"Escavação mecânica de valas em material de 2ª categoria (Execução, incluindo remoção para fora do leito estradal)",m3,12.49,Região Norte,Planilha
RO-40220,"Escavação mecânica de valas em rocha (Execução, incluindo remoção para fora do leito estradal)",m3,105.47,Região Norte,Planilha
RO-42263,Espalhamento de material em bota-fora,m3,0.27,Região Norte,Planilha
RO-40231,"Gabião tipo colchão reno espessura = 0,30 m, tela  revestida com  PVC (Execução, incluindo fornecimento de todos os materiais)",m2,274.62,Região Norte,Planilha
RO-40230,"Muro de arrimo em gabião caixa, tela galvanizada (Execução, incluindo fornecimento de todos os materiais)",m3,617.73,Região Norte,Planilha
RO-40221,"Muro de arrimo em gabião caixa, tela revestida com PVC (Execução, incluindo fornecimento de todos os materiais)",m3,630.31,Região Norte,Planilha
RO-40233,"Muro de arrimo em rip-rap, com enchimento de areia e cimento. Traço - 1:10 (execução, incluindo fornecimento e transporte de todos os materiais)",m3,255,Região Norte,Planilha
RO-40232,Muro de arrimo em rip-rap (vegetativo),m3,198,Região Norte,Planilha
RO-40240,Patrolamento (Reconformação mecânica da plataforma),m2,0.06,Região Norte,Planilha
RO-40114,Raspagem e limpeza de vegetação com regularização do terreno,m2,0.16,Região Norte,Planilha
RO-40234,Reaterro e compactação manual de vala,m3,36.41,Região Norte,Planilha
RO-40118,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  <= 200 m",m3,15.47,Região Norte,Planilha
RO-40124,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 1.001 a 1.500 m",m3,20.3,Região Norte,Planilha
RO-40125,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 1.501 a 2.000 m",m3,22.89,Região Norte,Planilha
RO-40128,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 2.001 a 3.000 m",m3,25.72,Região Norte,Planilha
RO-40120,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 201 a 400 m",m3,16.51,Região Norte,Planilha
RO-40121,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 401 a 600 m",m3,17.55,Região Norte,Planilha
RO-40122,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 601 a 800 m",m3,18.8,Região Norte,Planilha
RO-40123,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte  de 801 a 1.000 m",m3,19.68,Região Norte,Planilha
RO-43144,"Remoção, transporte e espalhamento de solo mole. Distância média de transporte de 3.001 a 4.000 m",m3,27.33,Região Norte,Planilha
RO-40210,"Revestimento primário (Execução, incluindo escavação, carga, descarga, espalhamento e compactação do material)",m3,14.71,Região Norte,Planilha
250,Drenagem,,,Região Norte,Planilha
RO-42910,Bacia de acumulação tipo I - A (Jusante de saídas d'água e valetas de proteção),U,740.08,Região Norte,Planilha
RO-42379,Bacia de acumulação tipo I (Jusante de saídas d'água e valetas de proteção),U,760.64,Região Norte,Planilha
RO-42911,Bacia de acumulação tipo II - A (Jusante de bueiros de greide),U,1069.01,Região Norte,Planilha
RO-42380,Bacia de acumulação tipo II (Jusante de bueiros de greide),U,1151.24,Região Norte,Planilha
RO-40472,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (2,50 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,8510.48,Região Norte,Planilha
RO-40448,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (2,50 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,9793.23,Região Norte,Planilha
RO-40474,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,00 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,9526.48,Região Norte,Planilha
RO-40450,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,00 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,12191.9,Região Norte,Planilha
RO-40475,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,00 x 3,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,18563.68,Região Norte,Planilha
RO-40451,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,00 x 3,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,14669.73,Região Norte,Planilha
RO-40476,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,50 x 3,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,26450.93,Região Norte,Planilha
RO-40452,"Bueiro duplo celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BDCC (3,50 x 3,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,18887.23,Região Norte,Planilha
RO-40453,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (1,00 x 1,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,1626.12,Região Norte,Planilha
RO-40429,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (1,00 x 1,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,2350.05,Região Norte,Planilha
RO-40455,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (1,50 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,5759.92,Região Norte,Planilha
RO-40431,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (1,50 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,4926.36,Região Norte,Planilha
RO-40456,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 1,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,3901.04,Região Norte,Planilha
RO-40432,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 1,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,5397.13,Região Norte,Planilha
RO-40457,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,6328.7,Região Norte,Planilha
RO-40433,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,6296.68,Região Norte,Planilha
RO-40458,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 2,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,9393.37,Região Norte,Planilha
RO-40434,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 2,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,7270.58,Região Norte,Planilha
RO-40459,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 3,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,13394.71,Região Norte,Planilha
RO-40435,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,00 x 3,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,8404.44,Região Norte,Planilha
RO-40460,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 1,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,4331.44,Região Norte,Planilha
RO-40436,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 1,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,6865.22,Região Norte,Planilha
RO-40461,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,6794.37,Região Norte,Planilha
RO-40437,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,7730.95,Região Norte,Planilha
RO-40462,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 2,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,10150.73,Região Norte,Planilha
RO-40438,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 2,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,8789.79,Região Norte,Planilha
RO-40463,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 3,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,14210.22,Região Norte,Planilha
RO-40439,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (2,50 x 3,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,9858.38,Região Norte,Planilha
RO-40464,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 2,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,7432.95,Região Norte,Planilha
RO-40440,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 2,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,9478.72,Região Norte,Planilha
RO-40465,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 2,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,10817.13,Região Norte,Planilha
RO-40441,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 2,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,10436.95,Região Norte,Planilha
RO-40466,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 3,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,15013.16,Região Norte,Planilha
RO-40442,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 3,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,11517.45,Região Norte,Planilha
RO-40467,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 3,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,20122.57,Região Norte,Planilha
RO-40443,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,00 x 3,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,12742.59,Região Norte,Planilha
RO-40469,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,50 x 3,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,15868.61,Região Norte,Planilha
RO-40444,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,50 x 3,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,13375.91,Região Norte,Planilha
RO-41798,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,50 x 3,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,21130.03,Região Norte,Planilha
RO-40445,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (3,50 x 3,50)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,14588.32,Região Norte,Planilha
RO-40471,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (4,00 x 4,00)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,28495.67,Região Norte,Planilha
RO-40447,"Bueiro duplo celular de concreto Padrão DER/MG. Para altura de aterro de 0 a 5,00 m. BDCC (4,00 x 4,00)m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",m,18129.31,Região Norte,Planilha
RO-40297,"Bueiro duplo tubular  de concreto, classe CA-2.  BDTC Ø 0,60 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,914.32,Região Norte,Planilha
RO-40298,"Bueiro duplo tubular  de concreto, classe CA-2.  BDTC Ø 0,80 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,1489.26,Região Norte,Planilha
RO-40299,"Bueiro duplo tubular  de concreto, classe CA-2.  BDTC Ø 1,00  m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,2119.03,Região Norte,Planilha
RO-40300,"Bueiro duplo tubular  de concreto, classe CA-2.  BDTC Ø 1,20 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,3007.38,Região Norte,Planilha
RO-40301,"Bueiro duplo tubular  de concreto, classe CA-2.  BDTC Ø 1,50  m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,4711.17,Região Norte,Planilha
RO-40307,"Bueiro duplo tubular de concreto, BDTC Ø 0,60 m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,1711.14,Região Norte,Planilha
RO-40308,"Bueiro duplo tubular de concreto, BDTC Ø 0,80 m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,2806.09,Região Norte,Planilha
RO-40309,"Bueiro duplo tubular de concreto, BDTC Ø 1,00 m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,4249.28,Região Norte,Planilha
RO-40310,"Bueiro duplo tubular de concreto, BDTC Ø 1,20 m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,6238.38,Região Norte,Planilha
RO-40311,"Bueiro duplo tubular de concreto, BDTC Ø 1,50 m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,11217.05,Região Norte,Planilha
RO-40292,"Bueiro duplo tubular de concreto, classe CA-1. BDTC Ø 0,60 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,838.32,Região Norte,Planilha
RO-40293,"Bueiro duplo tubular de concreto, classe CA-1. BDTC Ø 0,80 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,1359.26,Região Norte,Planilha
RO-40294,"Bueiro duplo tubular de concreto, classe CA-1. BDTC Ø 1,00 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,1947.03,Região Norte,Planilha
RO-40295,"Bueiro duplo tubular de concreto, classe CA-1. BDTC Ø 1,20 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,2743.38,Região Norte,Planilha
RO-40296,"Bueiro duplo tubular de concreto, classe CA-1. BDTC Ø 1,50 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,4279.17,Região Norte,Planilha
RO-40302,"Bueiro duplo tubular de concreto, classe CA-3. BDTC Ø 0,60 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,1030.32,Região Norte,Planilha
RO-40303,"Bueiro duplo tubular de concreto, classe CA-3. BDTC Ø 0,80 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,1685.26,Região Norte,Planilha
RO-40304,"Bueiro duplo tubular de concreto, classe CA-3. BDTC Ø 1,00 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,2377.03,Região Norte,Planilha
RO-40305,"Bueiro duplo tubular de concreto, classe CA-3. BDTC Ø 1,20 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,3403.38,Região Norte,Planilha
RO-40306,"Bueiro duplo tubular de concreto, classe CA-3. BDTC Ø 1,50 m - corpo (Execução, incluindo fornecimento e transporte de todos os materiais e berço, exclusive escavação e compactação)",m,5357.17,Região Norte,Planilha
RO-40418,"Bueiro simples celular de concreto Padrão DER/MG.  Para altura de aterro de 5,10 a 10,00 m. BSCC (1,50 x 1,50)m - boca (Execução, incluindo fornecimento e transporte de todos os materiais, exclusive escavação e compactação)",U,4078.78,Região Norte,Planilha
